category,subcategory,product,price,frequency
Food and Beverages,Produce,Fruits,3.0,0.009811937857726901
Food and Beverages,Produce,Vegetables,2.0,0.012673753066230581
Food and Beverages,Dairy,Milk,1.5,0.008585445625511038
Food and Beverages,Dairy,Cheese,5.0,0.009811937857726901
Food and Beverages,Dairy,Yogurt,2.5,0.008585445625511038
Food and Beverages,Dairy,Eggs,2.0,0.019623875715453803
Food and Beverages,Meat,Beef,8.0,0.011856091578086671
Food and Beverages,Meat,Pork,7.0,0.0024529844644317253
Food and Beverages,Meat,Chicken,5.0,0.003679476696647588
Food and Beverages,Meat,Lamb,10.0,0.016762060506950123
Food and Beverages,Seafood,Fresh Fish,15.0,0.016762060506950123
Food and Beverages,Seafood,Shellfish,20.0,0.015126737530662305
Food and Beverages,Seafood,Frozen Seafood,10.0,0.003679476696647588
Food and Beverages,Bakery,Bread,3.0,0.004905968928863451
Food and Beverages,Bakery,Cakes,6.0,0.00776778413736713
Food and Beverages,Bakery,Pastries,4.0,0.019623875715453803
Food and Beverages,Deli,Cold Cuts,7.0,0.006950122649223222
Food and Beverages,Deli,Prepared Foods,5.0,0.004905968928863451
Food and Beverages,Deli,Cheeses,6.0,0.019623875715453803
Food and Beverages,Frozen Foods,Frozen Vegetables,3.0,0.013082583810302535
Food and Beverages,Frozen Foods,Ready-to-Eat Meals,7.0,0.017170891251022075
Food and Beverages,Frozen Foods,Ice Cream,4.0,0.004088307440719542
Food and Beverages,Canned and Packaged Goods,Soups,2.0,0.008994276369582993
Food and Beverages,Canned and Packaged Goods,Beans,1.0,0.017988552739165987
Food and Beverages,Canned and Packaged Goods,Pasta,1.5,0.01553556827473426
Food and Beverages,Canned and Packaged Goods,Sauces,2.0,0.006950122649223222
Food and Beverages,Snacks,Chips,2.5,0.008994276369582993
Food and Beverages,Snacks,Cookies,3.0,0.01553556827473426
Food and Beverages,Snacks,Nuts,6.0,0.012673753066230581
Food and Beverages,Snacks,Popcorn,1.5,0.015126737530662305
